m2,price,location
125.54,1265,Qinghe
166,1195,Qinghe
180,1450,Qinghe
97.68,1098,Qinghe
237.7,2800,Qinghe
100.58,1288,Qinghe
88.49,818,Qinghe
144.37,1880,Qinghe
99.37,918,Qinghe
70.25,699,Qinghe
191.51,1950,Qinghe
237.7,2830,Qinghe
94.38,868,Qinghe
142.1,1345,Qinghe
138.19,1390,Qinghe
192.04,3390,Qinghe
331.18,4300,Qinghe
166.57,1998,Qinghe
139,1580,Qinghe
163.15,1749,Qinghe
239.19,2880,Qinghe
281.7,1850,Qinghe
221.63,1868,Qinghe
156,1850,Qinghe
89.2,735,Qinghe
127.67,1280,Qinghe
99.37,1150,Qinghe
201.15,2280,Qinghe
70.2,699,Qinghe
99.93,929,Qinghe
286.31,2100,Qinghe
99.46,668,Qinghe
192.04,2480,Qinghe
90.25,888,Qinghe
218.37,1850,Qinghe
174,1800,Qinghe
156,1850,Qinghe
178,2099,Qinghe
166.57,1998,Qinghe
94.67,880,Qinghe
47.1,290,Qinghe
209.36,2080,Qinghe
94.67,895,Qinghe
72.31,810,Qinghe
139,2430,Qinghe
146,1798,Qinghe
102.68,1030,Qinghe
178,2099,Qinghe
146,1870,Qinghe
163.15,1800,Qinghe
163.15,1749,Qinghe
92,900,Qinghe
146,1798,Qinghe
88.53,919,Qinghe
162.09,1540,Qinghe
252.05,2350,Qinghe
174,1800,Qinghe
127,1498,Qinghe
286.31,2100,Qinghe
72.31,810,Qinghe
429.35,1898,Qinghe
239.19,2880,Qinghe
221.63,1868,Qinghe
139,2430,Qinghe
170.01,1900,Qinghe
308.56,2600,Qinghe
179,2030,Qinghe
239.19,2880,Qinghe
56.8,289,Qinghe
111.89,1390,Qinghe
66.61,358,Qinghe
166.57,1998,Qinghe
109.03,1090,Qinghe
114.87,899,Qinghe
108,1350,Qinghe
94.91,1020,Qinghe
163.15,1800,Qinghe
239.19,2880,Qinghe
92,900,Qinghe
177.64,1999,Qinghe
237,2800,Qinghe
179,2030,Qinghe
192.04,3390,Qinghe
209.36,2080,Qinghe
104.33,580,Qinghe
178,2099,Qinghe
92,900,Qinghe
136.7,2100,Qinghe
140.35,1818,Qinghe
197.57,2100,Qinghe
92,900,Qinghe
239.19,2880,Qinghe
188.97,2960,Qinghe
192.16,2280,Qinghe
99,1090,Qinghe
143.85,1450,Qinghe
109,1090,Qinghe
139,1399,Qinghe
170.01,1900,Qinghe
283,2200,Qinghe
141.65,1799,Qinghe
142,2299,Qinghe
211.65,2288,Qinghe
192.04,2480,Qinghe
99.46,668,Qinghe
163.15,1749,Qinghe
141.09,1750,Qinghe
90.25,888,Qinghe
57.9,299,Qinghe
221.63,1868,Qinghe
127.98,1420,Qinghe
286.31,2100,Qinghe
77.3,426,Qinghe
137.94,1420,Qinghe
308.56,2600,Qinghe
136.7,2100,Qinghe
145.93,1150,Qinghe
187.14,2550,Qinghe
137,1420,Qinghe
195.19,2450,Qinghe
187.14,2550,Qinghe
383.13,2890,Qinghe
97.68,1098,Qinghe
99.93,929,Qinghe
212,1980,Qinghe
193.85,2699,Qinghe
159.07,1160,Qinghe
212,1980,Qinghe
429.35,1898,Qinghe
145.97,1868,Qinghe
88,1030,Qinghe
