m2,rent,location
12,1700,Qinghe
85,6600,Qinghe
15,2350,Qinghe
40,5000,Qinghe
18,2000,Qinghe
48,4200,Qinghe
12,1800,Qinghe
20,2000,Qinghe
20,2500,Qinghe
10,1500,Qinghe
25,3500,Qinghe
75,6300,Qinghe
78,6500,Qinghe
160,14800,Qinghe
59,7200,Qinghe
119,15000,Qinghe
160,14800,Qinghe
76,7000,Qinghe
97,30000,Qinghe
76,7000,Qinghe
103,8500,Qinghe
186,45000,Qinghe
105,33000,Qinghe
75,6300,Qinghe
179,800000,Qinghe
119,15000,Qinghe
145,21000,Qinghe
47,5000,Qinghe
56,6000,Qinghe
56,6000,Qinghe
56,6000,Qinghe
56,6000,Qinghe
158,14500,Qinghe
78,6500,Qinghe
97,30000,Qinghe
236,33000,Qinghe
80,8800,Qinghe
47,5000,Qinghe
89,9700,Qinghe
56,6000,Qinghe
114,11000,Qinghe
99,11000,Qinghe
78,6500,Qinghe
99,10000,Qinghe
186,45000,Qinghe
97,30000,Qinghe
97,30000,Qinghe
89,9700,Qinghe
147,12500,Qinghe
163,16800,Qinghe
236,33000,Qinghe
158,14500,Qinghe
97,30000,Qinghe
89,9700,Qinghe
236,33000,Qinghe
114,11000,Qinghe
89,9700,Qinghe
40,5000,Qinghe
105,33000,Qinghe
59,7200,Qinghe
140,12000,Qinghe
163,16800,Qinghe
75,6700,Qinghe
179,800000,Qinghe
102,12000,Qinghe
114,15200,Qinghe
105,33000,Qinghe
99,11000,Qinghe
64,9300,Qinghe
99,11000,Qinghe
99,10000,Qinghe
59,7200,Qinghe
97,30000,Qinghe
114,11000,Qinghe
97,30000,Qinghe
158,14500,Qinghe
78,6500,Qinghe
40,5000,Qinghe
64,9300,Qinghe
75,6300,Qinghe
76,7000,Qinghe
147,12500,Qinghe
428,23000,Qinghe
119,15000,Qinghe
47,5000,Qinghe
236,33000,Qinghe
78,6500,Qinghe
114,11000,Qinghe
158,14500,Qinghe
56,6000,Qinghe
114,11000,Qinghe
114,11000,Qinghe
102,12000,Qinghe
236,33000,Qinghe
76,7000,Qinghe
76,7000,Qinghe
99,11000,Qinghe
97,30000,Qinghe
99,10000,Qinghe
147,12500,Qinghe
56,6000,Qinghe
105,33000,Qinghe
89,9700,Qinghe
59,7200,Qinghe
75,6300,Qinghe
99,11000,Qinghe
179,800000,Qinghe
105,33000,Qinghe
114,15200,Qinghe
97,30000,Qinghe
80,8800,Qinghe
105,33000,Qinghe
236,33000,Qinghe
64,9300,Qinghe
105,33000,Qinghe
212,50000,Qinghe
236,33000,Qinghe
103,8500,Qinghe
78,6500,Qinghe
114,15200,Qinghe
114,15200,Qinghe
75,6700,Qinghe
103,8500,Qinghe
163,16800,Qinghe
78,6500,Qinghe
186,45000,Qinghe
75,6300,Qinghe
64,9300,Qinghe
75,6700,Qinghe
186,45000,Qinghe
97,30000,Qinghe
78,6500,Qinghe
147,12500,Qinghe
212,50000,Qinghe
212,50000,Qinghe
40,5000,Qinghe
145,21000,Qinghe
428,23000,Qinghe
105,33000,Qinghe
103,8500,Qinghe
78,7200,Qinghe
212,50000,Qinghe
186,45000,Qinghe
179,800000,Qinghe
78,7200,Qinghe
105,33000,Qinghe
80,8800,Qinghe
119,15000,Qinghe
428,23000,Qinghe
64,9300,Qinghe
59,7200,Qinghe
59,7200,Qinghe
102,12000,Qinghe
75,6700,Qinghe
102,12000,Qinghe
76,7000,Qinghe
163,16800,Qinghe
76,7000,Qinghe
97,30000,Qinghe
75,6700,Qinghe
114,15200,Qinghe
212,50000,Qinghe
160,14800,Qinghe
186,45000,Qinghe
103,8500,Qinghe
40,5000,Qinghe
75,6300,Qinghe
428,23000,Qinghe
179,800000,Qinghe
47,5000,Qinghe
212,50000,Qinghe
97,30000,Qinghe
40,5000,Qinghe
186,45000,Qinghe
105,33000,Qinghe
105,33000,Qinghe
78,6500,Qinghe
40,5000,Qinghe
75,6700,Qinghe
105,33000,Qinghe
75,6300,Qinghe
97,30000,Qinghe
99,11000,Qinghe
75,6700,Qinghe
56,6000,Qinghe
428,23000,Qinghe
78,7200,Qinghe
103,8500,Qinghe
47,5000,Qinghe
186,45000,Qinghe
236,33000,Qinghe
64,9300,Qinghe
179,800000,Qinghe
78,7200,Qinghe
119,15000,Qinghe
75,6700,Qinghe
186,45000,Qinghe
99,10000,Qinghe
179,800000,Qinghe
102,12000,Qinghe
89,9700,Qinghe
59,7200,Qinghe
75,6300,Qinghe
212,50000,Qinghe
97,30000,Qinghe
147,12500,Qinghe
105,33000,Qinghe
97,30000,Qinghe
179,800000,Qinghe
103,8500,Qinghe
163,16800,Qinghe
212,50000,Qinghe
97,30000,Qinghe
236,33000,Qinghe
212,50000,Qinghe
40,5000,Qinghe
75,6300,Qinghe
56,6000,Qinghe
75,6300,Qinghe
78,7200,Qinghe
186,45000,Qinghe
59,7200,Qinghe
64,9300,Qinghe
179,800000,Qinghe
160,14800,Qinghe
89,9700,Qinghe
76,7000,Qinghe
163,16800,Qinghe
428,23000,Qinghe
179,800000,Qinghe
186,45000,Qinghe
47,5000,Qinghe
40,5000,Qinghe
75,6700,Qinghe
147,12500,Qinghe
80,8800,Qinghe
236,33000,Qinghe
163,16800,Qinghe
59,7200,Qinghe
105,33000,Qinghe
140,12000,Qinghe
428,23000,Qinghe
80,8800,Qinghe
163,16800,Qinghe
179,800000,Qinghe
105,33000,Qinghe
186,45000,Qinghe
147,12500,Qinghe
428,23000,Qinghe
114,15200,Qinghe
18,2000,Qinghe
30,3500,Qinghe
20,2500,Qinghe
65,4500,Qinghe
47,5000,Qinghe
88,9600,Qinghe
13,2184,Qinghe
18,2900,Qinghe
30,3300,Qinghe
78,7200,Qinghe
114,11000,Qinghe
18,2100,Qinghe
15,1600,Qinghe
40,3300,Qinghe
177,18500,Qinghe
76,7000,Qinghe
14,2100,Qinghe
22,1100,Qinghe
18,2000,Qinghe
18,2000,Qinghe
236,33000,Qinghe
75,6700,Qinghe
85,1800,Qinghe
121,1890,Qinghe
163,16800,Qinghe
65,5600,Qinghe
85,6000,Qinghe
18,2000,Qinghe
103,8500,Qinghe
15,1900,Qinghe
12,2300,Qinghe
45,4000,Qinghe
70,4500,Qinghe
71,8150,Qinghe
25,1600,Qinghe
75,6000,Qinghe
18,2000,Qinghe
77,5800,Qinghe
48,4200,Qinghe
237,34000,Qinghe
158,14500,Qinghe
20,2700,Qinghe
88,9800,Qinghe
35,3500,Qinghe
15,1100,Qinghe
59,7200,Qinghe
99,10000,Qinghe
10,1000,Qinghe
98,11500,Qinghe
15,2500,Qinghe
30,3500,Qinghe
85,6000,Qinghe
35,3500,Qinghe
20,2700,Qinghe
78,7200,Qinghe
18,2000,Qinghe
88,9600,Qinghe
59,7200,Qinghe
15,1100,Qinghe
15,1900,Qinghe
60,1300,Qinghe
18,2000,Qinghe
75,6000,Qinghe
70,4500,Qinghe
12,1700,Qinghe
8,1900,Qinghe
15,2500,Qinghe
47,5000,Qinghe
30,2500,Qinghe
18,2000,Qinghe
10,7600,Qinghe
82,6300,Qinghe
103,8500,Qinghe
30,2600,Qinghe
85,5800,Qinghe
65,4500,Qinghe
20,2700,Qinghe
20,2500,Qinghe
75,6300,Qinghe
25,1600,Qinghe
30,2600,Qinghe
49,2500,Qinghe
147,12800,Qinghe
49,2500,Qinghe
126,8200,Qinghe
71,8150,Qinghe
90,7400,Qinghe
39,4000,Qinghe
60,6200,Qinghe
85,7200,Qinghe
60,6300,Qinghe
15,2200,Qinghe
38,5000,Qinghe
76,6780,Qinghe
16,2500,Qinghe
85,7500,Qinghe
62,6200,Qinghe
185,26000,Qinghe
57,5700,Qinghe
45,7000,Qinghe
57,5800,Qinghe
56,5800,Qinghe
20,2500,Qinghe
44,5430,Qinghe
10,3200,Qinghe
143,9500,Qinghe
20,2800,Qinghe
77,6200,Qinghe
8,2400,Qinghe
132,12000,Qinghe
69,7900,Qinghe
49,5000,Qinghe
51,5800,Qinghe
98,7660,Qinghe
77,6200,Qinghe
65,6500,Qinghe
56,6690,Qinghe
32,5000,Qinghe
60,5800,Qinghe
128,10800,Qinghe
90,7000,Qinghe
81,7800,Qinghe
44,4900,Qinghe
150,12000,Qinghe
86,6660,Qinghe
55,5960,Qinghe
35,5060,Qinghe
139,16000,Qinghe
88,7700,Qinghe
106,7200,Qinghe
43,5000,Qinghe
58,5200,Qinghe
35,3850,Qinghe
97,8100,Qinghe
130,8500,Qinghe
83,7300,Qinghe
58,5860,Qinghe
98,8200,Qinghe
77,6500,Qinghe
92,7100,Qinghe
119,11300,Qinghe
71,8150,Qinghe
35,4500,Qinghe
103,9000,Qinghe
38,5000,Qinghe
62,5300,Qinghe
45,4500,Qinghe
58,5800,Qinghe
50,4900,Qinghe
67,6000,Qinghe
138,15000,Qinghe
67,6000,Qinghe
60,6000,Qinghe
70,7600,Qinghe
81,7350,Qinghe
48,4500,Qinghe
82,8000,Qinghe
110,7800,Qinghe
40,5100,Qinghe
92,7500,Qinghe
13,2500,Qinghe
68,7000,Qinghe
101,10630,Qinghe
60,6100,Qinghe
55,4500,Qinghe
83,7800,Qinghe
109,8750,Qinghe
72,6250,Qinghe
106,8200,Qinghe
41,5800,Qinghe
58,5500,Qinghe
57,5250,Qinghe
144,9900,Qinghe
68,6500,Qinghe
47,5860,Qinghe
175,12000,Qinghe
55,5000,Qinghe
58,5600,Qinghe
71,6000,Qinghe
69,5250,Qinghe
40,5300,Qinghe
13,1850,Qinghe
88,7350,Qinghe
47,4800,Qinghe
62,4800,Qinghe
20,2800,Qinghe
79,6700,Qinghe
62,6300,Qinghe
78,6900,Qinghe
60,4900,Qinghe
61,5500,Qinghe
53,5000,Qinghe
