m2,price,location
125.3,1099,Shangdi
108.82,698,Shangdi
149.73,1950,Shangdi
191,1260,Shangdi
146.25,1068,Shangdi
46.03,315,Shangdi
46.03,330,Shangdi
121.84,1200,Shangdi
145.23,1599,Shangdi
58.53,349,Shangdi
112.87,1450,Shangdi
100.58,1100,Shangdi
63.9,645,Shangdi
46.03,300,Shangdi
119,799,Shangdi
107.99,750,Shangdi
87.3,680,Shangdi
107.99,798,Shangdi
59.5,810,Shangdi
74,850,Shangdi
144.45,999,Shangdi
117,1020,Shangdi
118.79,848,Shangdi
181,1590,Shangdi
88.7,700,Shangdi
116.95,1188,Shangdi
145.23,1599,Shangdi
46.24,367,Shangdi
150,1380,Shangdi
121.68,780,Shangdi
193.8,1550,Shangdi
147,760,Shangdi
140.69,1020,Shangdi
99.41,736,Shangdi
59.5,810,Shangdi
58.8,840,Shangdi
139.34,1196,Shangdi
98.61,699,Shangdi
87.14,638,Shangdi
69,545,Shangdi
148.39,1030,Shangdi
146,1445,Shangdi
57.57,408,Shangdi
181,1590,Shangdi
54.83,466,Shangdi
151.8,1050,Shangdi
48.01,730,Shangdi
151,1700,Shangdi
59.44,589,Shangdi
54.83,466,Shangdi
98.61,699,Shangdi
54.83,466,Shangdi
189.5,1309,Shangdi
123,880,Shangdi
114.64,866,Shangdi
125.15,1198,Shangdi
145,999,Shangdi
140.69,1020,Shangdi
73.6,960,Shangdi
58.7,880,Shangdi
150,1380,Shangdi
191,1260,Shangdi
46.24,380,Shangdi
48,300,Shangdi
82.3,970,Shangdi
248,1750,Shangdi
146,1445,Shangdi
98.89,820,Shangdi
248,1680,Shangdi
82.3,1028,Shangdi
150,1320,Shangdi
41.07,399,Shangdi
156,1120,Shangdi
314.71,2980,Shangdi
141.22,1130,Shangdi
146.25,1068,Shangdi
110.38,803,Shangdi
88,790,Shangdi
149.73,1950,Shangdi
139.34,1196,Shangdi
145.23,1599,Shangdi
73.6,960,Shangdi
74,850,Shangdi
140.69,1020,Shangdi
111.57,800,Shangdi
