m2,rent,location
314,25500,Shangdi
125,11000,Shangdi
114,10500,Shangdi
106,12000,Shangdi
136,12900,Shangdi
97,9000,Shangdi
58,6300,Shangdi
88,7300,Shangdi
64,5500,Shangdi
61,7200,Shangdi
45,5200,Shangdi
15,2100,Shangdi
88,7300,Shangdi
88,8800,Shangdi
113,8800,Shangdi
110,12000,Shangdi
109,9500,Shangdi
113,8800,Shangdi
58,5900,Shangdi
88,8100,Shangdi
110,12000,Shangdi
181,18700,Shangdi
125,11000,Shangdi
128,11000,Shangdi
127,10000,Shangdi
127,9700,Shangdi
141,11000,Shangdi
116,10500,Shangdi
88,7300,Shangdi
116,12000,Shangdi
69,7500,Shangdi
61,7200,Shangdi
121,10800,Shangdi
128,11000,Shangdi
97,9000,Shangdi
58,6300,Shangdi
105,18000,Shangdi
88,8800,Shangdi
45,5200,Shangdi
125,13000,Shangdi
125,11000,Shangdi
86,7500,Shangdi
110,12000,Shangdi
88,8100,Shangdi
125,11000,Shangdi
59,7600,Shangdi
88,7300,Shangdi
88,8100,Shangdi
87,7500,Shangdi
126,8500,Shangdi
119,12000,Shangdi
314,25500,Shangdi
59,7600,Shangdi
119,11500,Shangdi
141,11000,Shangdi
116,10500,Shangdi
88,7300,Shangdi
58,6300,Shangdi
141,11000,Shangdi
97,9000,Shangdi
69,7500,Shangdi
127,10000,Shangdi
86,7500,Shangdi
126,8500,Shangdi
116,10500,Shangdi
113,8800,Shangdi
97,9000,Shangdi
88,8100,Shangdi
88,8800,Shangdi
88,8800,Shangdi
47,5300,Shangdi
119,12000,Shangdi
127,10000,Shangdi
58,6300,Shangdi
114,10500,Shangdi
114,10500,Shangdi
47,5300,Shangdi
116,12000,Shangdi
59,7600,Shangdi
119,11500,Shangdi
128,11000,Shangdi
61,7200,Shangdi
127,10000,Shangdi
109,9500,Shangdi
47,5300,Shangdi
108,8500,Shangdi
126,15000,Shangdi
88,8100,Shangdi
88,8800,Shangdi
97,9000,Shangdi
87,7500,Shangdi
88,7300,Shangdi
127,10000,Shangdi
61,7200,Shangdi
88,8100,Shangdi
141,11000,Shangdi
119,12000,Shangdi
110,12000,Shangdi
87,7500,Shangdi
58,5900,Shangdi
116,10500,Shangdi
126,8500,Shangdi
114,10500,Shangdi
136,12900,Shangdi
121,10800,Shangdi
69,7500,Shangdi
116,12000,Shangdi
119,11500,Shangdi
45,5200,Shangdi
58,5900,Shangdi
45,5200,Shangdi
64,5500,Shangdi
181,18700,Shangdi
125,11000,Shangdi
113,8800,Shangdi
121,10800,Shangdi
113,8800,Shangdi
136,12900,Shangdi
121,10800,Shangdi
58,6300,Shangdi
116,10500,Shangdi
87,7500,Shangdi
136,12900,Shangdi
116,12000,Shangdi
110,11700,Shangdi
109,9500,Shangdi
47,5300,Shangdi
106,12000,Shangdi
58,5900,Shangdi
125,11000,Shangdi
116,10500,Shangdi
58,5900,Shangdi
88,8800,Shangdi
116,10500,Shangdi
136,12900,Shangdi
110,12000,Shangdi
136,12900,Shangdi
121,10800,Shangdi
125,11000,Shangdi
127,9700,Shangdi
87,7500,Shangdi
109,9500,Shangdi
141,11000,Shangdi
108,8500,Shangdi
88,8800,Shangdi
119,12000,Shangdi
114,10500,Shangdi
88,7300,Shangdi
127,10000,Shangdi
86,7500,Shangdi
45,5200,Shangdi
114,10500,Shangdi
116,10500,Shangdi
125,13000,Shangdi
125,13000,Shangdi
119,11500,Shangdi
125,13000,Shangdi
106,12000,Shangdi
59,7600,Shangdi
108,8500,Shangdi
116,12000,Shangdi
127,9700,Shangdi
128,11000,Shangdi
108,8500,Shangdi
105,18000,Shangdi
69,7500,Shangdi
58,6300,Shangdi
181,18700,Shangdi
125,11000,Shangdi
108,8500,Shangdi
88,8100,Shangdi
127,9700,Shangdi
106,12000,Shangdi
58,6300,Shangdi
128,11000,Shangdi
58,5900,Shangdi
58,5900,Shangdi
97,9000,Shangdi
88,8100,Shangdi
136,12900,Shangdi
113,8800,Shangdi
45,5200,Shangdi
114,10500,Shangdi
114,10500,Shangdi
121,10800,Shangdi
114,10500,Shangdi
106,12000,Shangdi
47,5300,Shangdi
106,12000,Shangdi
64,5500,Shangdi
86,7500,Shangdi
69,7500,Shangdi
87,7500,Shangdi
86,7500,Shangdi
125,13000,Shangdi
127,9700,Shangdi
127,10000,Shangdi
58,5900,Shangdi
69,7500,Shangdi
125,13000,Shangdi
105,18000,Shangdi
58,5900,Shangdi
125,11000,Shangdi
119,12000,Shangdi
109,9500,Shangdi
88,8800,Shangdi
116,10500,Shangdi
314,25500,Shangdi
47,5300,Shangdi
126,8500,Shangdi
116,12000,Shangdi
113,8800,Shangdi
125,11000,Shangdi
126,8500,Shangdi
108,8500,Shangdi
88,8800,Shangdi
110,11700,Shangdi
106,12000,Shangdi
105,18000,Shangdi
127,9700,Shangdi
314,25500,Shangdi
116,12000,Shangdi
47,5300,Shangdi
58,5900,Shangdi
114,10500,Shangdi
59,7600,Shangdi
113,8800,Shangdi
126,8500,Shangdi
127,9700,Shangdi
127,9700,Shangdi
69,7500,Shangdi
136,12900,Shangdi
121,10800,Shangdi
20,2000,Shangdi
15,2000,Shangdi
11,2000,Shangdi
15,2350,Shangdi
18,2700,Shangdi
12,2300,Shangdi
15,2200,Shangdi
110,11700,Shangdi
