m2,price,location
225.44,1539.0,Xierqi
88.49,410.0,Xierqi
82.83,688.0,Xierqi
255.95,1999.0,Xierqi
142.0,890.0,Xierqi
236.0,1839.0,Xierqi
180.19,1599.0,Xierqi
91.7,520.0,Xierqi
153.04,1299.0,Xierqi
95.19,799.0,Xierqi
90.8,479.0,Xierqi
137.0,798.0,Xierqi
155.52,1359.0,Xierqi
142.0,890.0,Xierqi
180.19,1599.0,Xierqi
82.83,688.0,Xierqi
155.52,1359.0,Xierqi
91.7,520.0,Xierqi
294.7,2760.0,Xierqi
132.2,1160.0,Xierqi
87.0,700.0,Xierqi
120.61,1099.0,Xierqi
87.0,700.0,Xierqi
126.08,734.0,Xierqi
155.52,1359.0,Xierqi
105.15,539.0,Xierqi
357.47,2980.0,Xierqi
308.0,2698.0,Xierqi
140.1,1260.0,Xierqi
88.49,495.0,Xierqi
294.7,2760.0,Xierqi
87.0,700.0,Xierqi
142.0,890.0,Xierqi
146.5,1395.0,Xierqi
126.08,734.0,Xierqi
126.08,667.0,Xierqi
95.19,799.0,Xierqi
86.3,535.0,Xierqi
122.0,2760.0,Xierqi
88.49,495.0,Xierqi
236.0,1839.0,Xierqi
291.0,2150.0,Xierqi
224.0,1539.0,Xierqi
297.09,2280.0,Xierqi
94.57,710.0,Xierqi
236.0,1839.0,Xierqi
90.8,479.0,Xierqi
297.09,2280.0,Xierqi
155.52,1359.0,Xierqi
224.0,1539.0,Xierqi
144.0,888.0,Xierqi
82.83,688.0,Xierqi
105.15,539.0,Xierqi
144.42,1099.0,Xierqi
94.57,710.0,Xierqi
255.95,1999.0,Xierqi
182.02,1550.0,Xierqi
291.0,2150.0,Xierqi
182.02,1550.0,Xierqi
147.01,1395.0,Xierqi
146.5,1395.0,Xierqi
88.49,495.0,Xierqi
137.0,798.0,Xierqi
143.0,1040.0,Xierqi
255.95,1999.0,Xierqi
126.08,667.0,Xierqi
153.0,1520.0,Xierqi
153.0,1520.0,Xierqi
147.01,1395.0,Xierqi
294.7,2760.0,Xierqi
158.54,1360.0,Xierqi
90.8,479.0,Xierqi
