m2,rent,location
16,2100,Xierqi
18,2300,Xierqi
266,42000,Xierqi
294,42000,Xierqi
87,7500,Xierqi
107,9500,Xierqi
58,5800,Xierqi
268,48000,Xierqi
96,10500,Xierqi
268,48000,Xierqi
138,12000,Xierqi
71,6800,Xierqi
122,12000,Xierqi
268,48000,Xierqi
268,48000,Xierqi
138,12000,Xierqi
294,42000,Xierqi
138,12000,Xierqi
143,12000,Xierqi
152,13000,Xierqi
266,42000,Xierqi
233,28000,Xierqi
143,12000,Xierqi
144,11000,Xierqi
187,15900,Xierqi
70,5600,Xierqi
268,48000,Xierqi
71,6800,Xierqi
233,28000,Xierqi
87,7500,Xierqi
233,28000,Xierqi
71,6800,Xierqi
71,6800,Xierqi
58,5800,Xierqi
70,5600,Xierqi
294,42000,Xierqi
187,15900,Xierqi
233,28000,Xierqi
294,42000,Xierqi
70,5600,Xierqi
107,9500,Xierqi
138,12000,Xierqi
58,5800,Xierqi
187,15900,Xierqi
268,48000,Xierqi
187,15900,Xierqi
266,42000,Xierqi
143,12000,Xierqi
266,42000,Xierqi
143,12000,Xierqi
87,7500,Xierqi
144,11000,Xierqi
152,13000,Xierqi
294,42000,Xierqi
233,28000,Xierqi
294,42000,Xierqi
122,12000,Xierqi
152,13000,Xierqi
152,13000,Xierqi
233,28000,Xierqi
107,9500,Xierqi
143,12000,Xierqi
268,48000,Xierqi
152,13000,Xierqi
266,42000,Xierqi
18,2000,Xierqi
70,5600,Xierqi
25,2800,Xierqi
15,2500,Xierqi
20,2800,Xierqi
66,5800,Xierqi
15,1500,Xierqi
71,6800,Xierqi
15,2200,Xierqi
233,28000,Xierqi
20,1900,Xierqi
15,1900,Xierqi
12,2100,Xierqi
25,1300,Xierqi
15,2500,Xierqi
233,28000,Xierqi
122,12000,Xierqi
122,12000,Xierqi
13,1500,Xierqi
143,12000,Xierqi
20,2800,Xierqi
87,7500,Xierqi
22,3000,Xierqi
18,2400,Xierqi
25,3999,Xierqi
17,2100,Xierqi
87,7500,Xierqi
15,2000,Xierqi
15,2200,Xierqi
15,2500,Xierqi
15,2300,Xierqi
58,5800,Xierqi
20,1800,Xierqi
130,1850,Xierqi
284,33000,Xierqi
86,7500,Xierqi
40,4099,Xierqi
68,7500,Xierqi
18,2900,Xierqi
162,13000,Xierqi
70,6800,Xierqi
83,6600,Xierqi
269,41000,Xierqi
69,7000,Xierqi
66,7500,Xierqi
70,6400,Xierqi
96,8000,Xierqi
72,6500,Xierqi
14,2850,Xierqi
53,5200,Xierqi
99,10500,Xierqi
145,14000,Xierqi
126,11000,Xierqi
71,7200,Xierqi
66,7000,Xierqi
66,6500,Xierqi
152,13500,Xierqi
230,21000,Xierqi
50,5200,Xierqi
69,6800,Xierqi
153,13900,Xierqi
88,6200,Xierqi
143,11800,Xierqi
139,12500,Xierqi
66,6830,Xierqi
53,5300,Xierqi
53,6800,Xierqi
99,10500,Xierqi
59,5200,Xierqi
52,5300,Xierqi
124,12000,Xierqi
100,8300,Xierqi
66,6800,Xierqi
66,6300,Xierqi
16,2550,Xierqi
15,2400,Xierqi
66,6800,Xierqi
135,6500,Xierqi
49,6800,Xierqi
55,5500,Xierqi
58,5600,Xierqi
12,2400,Xierqi
69,6500,Xierqi
150,13000,Xierqi
65,5500,Xierqi
66,5100,Xierqi
70,6800,Xierqi
89,8000,Xierqi
71,6200,Xierqi
83,6500,Xierqi
8,2300,Xierqi
266,34000,Xierqi
72,6200,Xierqi
266,42000,Xierqi
56,5000,Xierqi
98,7100,Xierqi
108,9500,Xierqi
87,9730,Xierqi
81,8500,Xierqi
122,12800,Xierqi
71,6800,Xierqi
110,10500,Xierqi
69,6200,Xierqi
99,7000,Xierqi
72,6400,Xierqi
126,10300,Xierqi
58,6890,Xierqi
90,6800,Xierqi
88,6500,Xierqi
68,6800,Xierqi
17,3300,Xierqi
83,6500,Xierqi
144,14000,Xierqi
114,9000,Xierqi
72,6200,Xierqi
25,4350,Xierqi
101,7500,Xierqi
70,6200,Xierqi
144,9500,Xierqi
50,5200,Xierqi
137,11000,Xierqi
143,11800,Xierqi
107,9800,Xierqi
85,7500,Xierqi
83,6500,Xierqi
18,2900,Xierqi
92,7300,Xierqi
119,8600,Xierqi
269,48000,Xierqi
72,8259,Xierqi
96,9500,Xierqi
72,6200,Xierqi
266,42000,Xierqi
99,10000,Xierqi
14,2850,Xierqi
98,7600,Xierqi
66,7500,Xierqi
153,13900,Xierqi
91,8500,Xierqi
83,6700,Xierqi
233,30000,Xierqi
81,8500,Xierqi
305,32000,Xierqi
144,13500,Xierqi
143,13000,Xierqi
144,12000,Xierqi
97,8100,Xierqi
87,8000,Xierqi
70,6100,Xierqi
122,12800,Xierqi
83,6800,Xierqi
67,6500,Xierqi
95,8780,Xierqi
20,2800,Xierqi
162,13800,Xierqi
88,6500,Xierqi
105,11500,Xierqi
98,9800,Xierqi
66,6200,Xierqi
186,22000,Xierqi
66,6830,Xierqi
54,6590,Xierqi
141,12000,Xierqi
233,33000,Xierqi
52,5300,Xierqi
143,12700,Xierqi
154,15800,Xierqi
298,28000,Xierqi
53,5600,Xierqi
56,4800,Xierqi
57,6000,Xierqi
40,4500,Xierqi
20,2550,Xierqi
97,9600,Xierqi
58,5600,Xierqi
86,8500,Xierqi
144,9500,Xierqi
228,30000,Xierqi
58,5600,Xierqi
53,5600,Xierqi
59,5800,Xierqi
83,6600,Xierqi
18,3000,Xierqi
371,32000,Xierqi
88,7800,Xierqi
88,7000,Xierqi
65,5500,Xierqi
100,8300,Xierqi
83,6500,Xierqi
88,6200,Xierqi
70,6800,Xierqi
53,6300,Xierqi
96,9900,Xierqi
66,6500,Xierqi
269,48000,Xierqi
30,4000,Xierqi
88,6500,Xierqi
67,7140,Xierqi
95,9000,Xierqi
66,7860,Xierqi
145,12000,Xierqi
69,6500,Xierqi
68,7000,Xierqi
70,6400,Xierqi
20,3100,Xierqi
18,2950,Xierqi
60,5900,Xierqi
66,6000,Xierqi
144,12000,Xierqi
68,7000,Xierqi
52,5300,Xierqi
162,13000,Xierqi
66,6150,Xierqi
138,9800,Xierqi
122,11300,Xierqi
166,13800,Xierqi
17,2650,Xierqi
68,6200,Xierqi
22,3100,Xierqi
233,30000,Xierqi
136,10500,Xierqi
53,5300,Xierqi
101,7500,Xierqi
70,6300,Xierqi
70,6500,Xierqi
98,9800,Xierqi
72,6200,Xierqi
70,6800,Xierqi
56,4800,Xierqi
66,6500,Xierqi
125,10100,Xierqi
100,10000,Xierqi
126,10300,Xierqi
143,12700,Xierqi
130,11000,Xierqi
294,43000,Xierqi
69,6500,Xierqi
70,6500,Xierqi
18,2950,Xierqi
112,7900,Xierqi
17,2650,Xierqi
86,8200,Xierqi
60,5200,Xierqi
70,6400,Xierqi
124,11000,Xierqi
123,8500,Xierqi
152,13500,Xierqi
114,7800,Xierqi
68,6600,Xierqi
138,9800,Xierqi
50,4850,Xierqi
136,10500,Xierqi
85,7800,Xierqi
99,7000,Xierqi
20,3100,Xierqi
65,5200,Xierqi
144,13000,Xierqi
71,6800,Xierqi
10,2200,Xierqi
126,10300,Xierqi
62,5500,Xierqi
69,6700,Xierqi
66,5800,Xierqi
142,13000,Xierqi
71,6200,Xierqi
118,10500,Xierqi
83,6100,Xierqi
59,5800,Xierqi
88,7500,Xierqi
69,7000,Xierqi
18,3000,Xierqi
65,5500,Xierqi
64,6500,Xierqi
66,6300,Xierqi
70,6800,Xierqi
230,22000,Xierqi
53,5450,Xierqi
71,8430,Xierqi
99,7700,Xierqi
52,5000,Xierqi
53,6800,Xierqi
83,6600,Xierqi
16,2550,Xierqi
72,6100,Xierqi
86,8500,Xierqi
49,6700,Xierqi
56,4600,Xierqi
87,9730,Xierqi
72,6200,Xierqi
68,7150,Xierqi
68,6800,Xierqi
53,5100,Xierqi
98,7100,Xierqi
51,6500,Xierqi
125,10500,Xierqi
69,6300,Xierqi
60,5200,Xierqi
120,12000,Xierqi
100,6800,Xierqi
49,6700,Xierqi
59,5200,Xierqi
83,6700,Xierqi
50,5200,Xierqi
186,22000,Xierqi
159,20500,Xierqi
135,6500,Xierqi
17,3300,Xierqi
20,2400,Xierqi
86,7600,Xierqi
142,13000,Xierqi
16,2900,Xierqi
66,6800,Xierqi
144,9500,Xierqi
58,6500,Xierqi
83,6500,Xierqi
180,15500,Xierqi
58,5800,Xierqi
89,8000,Xierqi
20,2800,Xierqi
71,7200,Xierqi
85,7500,Xierqi
299,36000,Xierqi
82,8200,Xierqi
72,6400,Xierqi
80,7600,Xierqi
87,8200,Xierqi
51,5500,Xierqi
94,8000,Xierqi
86,8000,Xierqi
66,7800,Xierqi
83,6100,Xierqi
82,9699,Xierqi
71,8430,Xierqi
118,10500,Xierqi
128,9500,Xierqi
14,2850,Xierqi
66,6830,Xierqi
233,33000,Xierqi
85,9100,Xierqi
286,40000,Xierqi
65,6800,Xierqi
92,7300,Xierqi
71,6800,Xierqi
59,7460,Xierqi
87,7000,Xierqi
65,6000,Xierqi
72,5900,Xierqi
65,6300,Xierqi
95,9000,Xierqi
114,7800,Xierqi
152,14500,Xierqi
180,24000,Xierqi
149,11550,Xierqi
145,14000,Xierqi
95,8500,Xierqi
50,4850,Xierqi
83,6800,Xierqi
68,6800,Xierqi
71,6200,Xierqi
