m2,price,location
115,620,Xisanqi
139,860,Xisanqi
206.89,1638,Xisanqi
160.12,1169,Xisanqi
75.54,437,Xisanqi
133,875,Xisanqi
101.62,638,Xisanqi
89.49,520,Xisanqi
139.2,905,Xisanqi
178.34,980,Xisanqi
89.63,595,Xisanqi
250.39,1880,Xisanqi
130.6,920,Xisanqi
242,2040,Xisanqi
157.52,1190,Xisanqi
208.87,2150,Xisanqi
139.2,905,Xisanqi
147.11,820,Xisanqi
126.87,888,Xisanqi
101.6,610,Xisanqi
252.67,2200,Xisanqi
70.12,280,Xisanqi
69,420,Xisanqi
184.35,1230,Xisanqi
149.63,980,Xisanqi
50.7,235,Xisanqi
138.27,858,Xisanqi
93.67,630,Xisanqi
242,2040,Xisanqi
262,2280,Xisanqi
110.23,448,Xisanqi
250.39,1880,Xisanqi
90,611,Xisanqi
81.6,440,Xisanqi
91.16,589,Xisanqi
82.87,318,Xisanqi
82.87,340,Xisanqi
122.15,449,Xisanqi
184.35,1230,Xisanqi
178.46,980,Xisanqi
67.25,405,Xisanqi
180.34,1900,Xisanqi
219.76,1460,Xisanqi
184.35,1230,Xisanqi
89.49,520,Xisanqi
74.8,715,Xisanqi
161.47,980,Xisanqi
167.23,1280,Xisanqi
216.6,1650,Xisanqi
88.62,488,Xisanqi
243.07,2050,Xisanqi
76.7,426,Xisanqi
49.2,299,Xisanqi
82.2,309,Xisanqi
66.4,408,Xisanqi
82.2,318,Xisanqi
91.14,720,Xisanqi
82.87,340,Xisanqi
147.11,820,Xisanqi
214.85,1688,Xisanqi
82.2,318,Xisanqi
149,860,Xisanqi
105.91,670,Xisanqi
89.42,525,Xisanqi
130.49,950,Xisanqi
208.87,2150,Xisanqi
214.85,1688,Xisanqi
219.76,1460,Xisanqi
275.97,1780,Xisanqi
88.62,488,Xisanqi
74.8,530,Xisanqi
89.42,525,Xisanqi
64,298,Xisanqi
179.61,1480,Xisanqi
70.07,350,Xisanqi
171.82,870,Xisanqi
235.91,2190,Xisanqi
167.23,1280,Xisanqi
157.52,1190,Xisanqi
252.67,2200,Xisanqi
