m2,rent,location
36,3000,Xisanqi
34,3000,Xisanqi
25,3200,Xisanqi
36,3500,Xisanqi
36,3600,Xisanqi
25,2800,Xisanqi
40,4000,Xisanqi
41,3500,Xisanqi
242,19000,Xisanqi
190,15000,Xisanqi
30,3800,Xisanqi
132,14800,Xisanqi
36,3500,Xisanqi
35,2880,Xisanqi
130,9000,Xisanqi
45,3800,Xisanqi
100,6200,Xisanqi
19,2000,Xisanqi
10,1400,Xisanqi
149,9700,Xisanqi
236,23000,Xisanqi
346,58333,Xisanqi
157,10500,Xisanqi
100,6800,Xisanqi
346,58000,Xisanqi
242,19000,Xisanqi
236,23000,Xisanqi
86,6100,Xisanqi
145,11000,Xisanqi
90,6500,Xisanqi
242,19000,Xisanqi
139,13000,Xisanqi
176,11500,Xisanqi
54,4250,Xisanqi
110,7800,Xisanqi
130,9800,Xisanqi
99,7100,Xisanqi
157,10500,Xisanqi
86,6100,Xisanqi
147,10500,Xisanqi
110,6500,Xisanqi
190,15000,Xisanqi
100,6200,Xisanqi
90,6500,Xisanqi
63,5500,Xisanqi
300,20000,Xisanqi
90,6500,Xisanqi
346,58333,Xisanqi
130,9000,Xisanqi
233,26000,Xisanqi
346,58000,Xisanqi
54,4250,Xisanqi
300,20000,Xisanqi
89,6200,Xisanqi
145,11000,Xisanqi
300,20000,Xisanqi
100,6800,Xisanqi
89,6400,Xisanqi
89,6400,Xisanqi
140,8000,Xisanqi
176,11500,Xisanqi
300,22000,Xisanqi
157,10500,Xisanqi
300,20000,Xisanqi
89,6400,Xisanqi
89,6200,Xisanqi
253,21700,Xisanqi
253,21700,Xisanqi
157,10500,Xisanqi
63,5500,Xisanqi
89,6200,Xisanqi
54,4250,Xisanqi
157,10500,Xisanqi
89,6400,Xisanqi
139,13000,Xisanqi
130,9800,Xisanqi
145,11000,Xisanqi
236,23000,Xisanqi
236,23000,Xisanqi
145,11000,Xisanqi
157,10500,Xisanqi
233,26000,Xisanqi
346,58333,Xisanqi
190,15000,Xisanqi
346,58000,Xisanqi
110,7400,Xisanqi
130,9800,Xisanqi
253,21700,Xisanqi
90,6500,Xisanqi
152,9800,Xisanqi
300,22000,Xisanqi
110,6500,Xisanqi
90,6500,Xisanqi
90,6500,Xisanqi
300,22000,Xisanqi
99,7100,Xisanqi
139,13000,Xisanqi
190,15000,Xisanqi
236,23000,Xisanqi
262,27000,Xisanqi
242,19000,Xisanqi
86,6100,Xisanqi
110,7400,Xisanqi
124,10900,Xisanqi
63,5500,Xisanqi
110,7800,Xisanqi
63,5500,Xisanqi
149,9700,Xisanqi
149,9700,Xisanqi
63,5500,Xisanqi
236,23000,Xisanqi
242,19000,Xisanqi
130,9000,Xisanqi
346,58000,Xisanqi
300,22000,Xisanqi
157,10500,Xisanqi
145,11000,Xisanqi
346,58333,Xisanqi
300,20000,Xisanqi
346,58333,Xisanqi
336,50000,Xisanqi
147,10500,Xisanqi
236,23000,Xisanqi
157,10500,Xisanqi
157,10500,Xisanqi
90,6500,Xisanqi
149,9700,Xisanqi
253,21700,Xisanqi
145,11000,Xisanqi
300,22000,Xisanqi
346,58333,Xisanqi
300,20000,Xisanqi
99,7100,Xisanqi
63,5500,Xisanqi
236,23000,Xisanqi
89,6400,Xisanqi
346,58000,Xisanqi
86,6100,Xisanqi
90,6500,Xisanqi
233,26000,Xisanqi
253,21700,Xisanqi
130,9000,Xisanqi
54,4250,Xisanqi
233,26000,Xisanqi
159,10000,Xisanqi
242,19000,Xisanqi
159,10000,Xisanqi
89,6200,Xisanqi
253,21700,Xisanqi
159,10000,Xisanqi
300,22000,Xisanqi
99,7100,Xisanqi
346,58333,Xisanqi
159,10000,Xisanqi
346,58000,Xisanqi
149,9700,Xisanqi
346,58333,Xisanqi
110,7400,Xisanqi
139,13000,Xisanqi
139,13000,Xisanqi
145,11000,Xisanqi
190,15000,Xisanqi
300,20000,Xisanqi
253,21700,Xisanqi
86,6100,Xisanqi
63,5500,Xisanqi
336,50000,Xisanqi
346,58000,Xisanqi
300,22000,Xisanqi
336,50000,Xisanqi
139,13000,Xisanqi
124,10900,Xisanqi
253,21700,Xisanqi
190,15000,Xisanqi
253,21700,Xisanqi
242,19000,Xisanqi
159,10000,Xisanqi
110,7400,Xisanqi
236,23000,Xisanqi
130,9000,Xisanqi
130,9000,Xisanqi
145,11000,Xisanqi
17,1200,Xisanqi
15,1800,Xisanqi
25,1800,Xisanqi
1500,1500,Xisanqi
36,3200,Xisanqi
20,2500,Xisanqi
100,6800,Xisanqi
15,2200,Xisanqi
15,1400,Xisanqi
20,2400,Xisanqi
19,1800,Xisanqi
52,3800,Xisanqi
147,10500,Xisanqi
152,9800,Xisanqi
140,8600,Xisanqi
14,1500,Xisanqi
15,1200,Xisanqi
62,6000,Xisanqi
15,1500,Xisanqi
15,2000,Xisanqi
12,1600,Xisanqi
62,6000,Xisanqi
149,9700,Xisanqi
86,4300,Xisanqi
12,1800,Xisanqi
45,3000,Xisanqi
35,3200,Xisanqi
15,2000,Xisanqi
30,3000,Xisanqi
132,14800,Xisanqi
14,1500,Xisanqi
50,3500,Xisanqi
20,1800,Xisanqi
18,1700,Xisanqi
14,1600,Xisanqi
15,1900,Xisanqi
132,14800,Xisanqi
18,2000,Xisanqi
233,26000,Xisanqi
12,2000,Xisanqi
22,1500,Xisanqi
8,1250,Xisanqi
12,1500,Xisanqi
89,6200,Xisanqi
19,1300,Xisanqi
139,12500,Xisanqi
99,7100,Xisanqi
20,2300,Xisanqi
15,1300,Xisanqi
22,3000,Xisanqi
63,6100,Xisanqi
18,2300,Xisanqi
18,1600,Xisanqi
20,2600,Xisanqi
18,2400,Xisanqi
95,4000,Xisanqi
62,6000,Xisanqi
78,4000,Xisanqi
12,1500,Xisanqi
25,3200,Xisanqi
15,1200,Xisanqi
15,1500,Xisanqi
11,1200,Xisanqi
